p,lambda,alpha,K_structure,solver,starting_point,tolerance,time_trimmed_mean,f_end
10,0.1,0,hub_1,pcglassoFast_Dual,I,0.010000000000000004,0.016162500000086767,1.9064337590410672
10,0.1,0,hub_1,pcglassoFast_Primal,C,9.999999999999982e-9,0.12860000000000582,1.8821732368706283
10,0.1,0,hub_1,pcglassoFast_Primal,C,3.5111917342151263e-8,0.12305000000001201,1.882173843494837
10,0.1,0,hub_1,pcglassoFast_Primal,C,1.2328467394420646e-7,0.11583749999999782,1.8821755412312677
10,0.1,0,hub_1,pcglassoFast_Primal,C,4.328761281083054e-7,0.11027499999995598,1.8821775439603365
10,0.1,0,hub_1,pcglassoFast_Primal,C,1.5199110829529328e-6,0.10387500000015279,1.8821792145615222
10,0.1,0,hub_1,pcglassoFast_Primal,C,5.336699231206308e-6,0.09553749999997763,1.8821829757279465
10,0.1,0,hub_1,pcglassoFast_Primal,C,1.873817422860384e-5,0.06518750000009277,1.8821961580758435
10,0.1,0,hub_1,pcglassoFast_Primal,C,6.579332246575681e-5,0.046850000000199545,1.8822405745686936
10,0.1,0,hub_1,pcglassoFast_Primal,C,2.310129700083161e-4,0.030275000000006002,1.882433295887394
10,0.1,0,hub_1,pcglassoFast_Primal,C,8.11130830789687e-4,0.02228750000003856,1.8833608011154017
10,0.1,0,hub_1,pcglassoFast_Primal,C,0.002848035868435802,0.01816249999997126,1.8868566335199928
10,0.1,0,hub_1,pcglassoFast_Primal,C,0.010000000000000004,0.012587500000086039,1.8954333797574874
10,0.1,0,hub_1,pcglassoFast_Primal,I,9.999999999999982e-9,0.1634624999999005,1.8821732216234963
10,0.1,0,hub_1,pcglassoFast_Primal,I,3.5111917342151263e-8,0.15128749999985303,1.882173834630887
10,0.1,0,hub_1,pcglassoFast_Primal,I,1.2328467394420646e-7,0.13626250000013443,1.8821760711120559
10,0.1,0,hub_1,pcglassoFast_Primal,I,4.328761281083054e-7,0.11902500000003328,1.8821782623872718
10,0.1,0,hub_1,pcglassoFast_Primal,I,1.5199110829529328e-6,0.09468749999996362,1.8821800485856248
10,0.1,0,hub_1,pcglassoFast_Primal,I,5.336699231206308e-6,0.07651249999980791,1.8821820991791929
10,0.1,0,hub_1,pcglassoFast_Primal,I,1.873817422860384e-5,0.054912499999954886,1.8821996095392457
10,0.1,0,hub_1,pcglassoFast_Primal,I,6.579332246575681e-5,0.04091250000005857,1.8822579607324947
10,0.1,0,hub_1,pcglassoFast_Primal,I,2.310129700083161e-4,0.031237499999906503,1.8824442011934885
10,0.1,0,hub_1,pcglassoFast_Primal,I,8.11130830789687e-4,0.024299999999948342,1.8836301270396658
10,0.1,0,hub_1,pcglassoFast_Primal,I,0.002848035868435802,0.01720000000007076,1.8878593498396907
10,0.1,0,hub_1,pcglassoFast_Primal,I,0.010000000000000004,0.010750000000166437,1.9014800786347537
10,0.1,0,random,pcglasso,C,9.999999999999982e-9,0.027262500000074397,6.19899977716911
10,0.1,0,random,pcglasso,C,3.5111917342151263e-8,0.020012499999847933,6.198999790357608
10,0.1,0,random,pcglasso,C,1.2328467394420646e-7,0.017362500000126603,6.199000080337648
10,0.1,0,random,pcglasso,C,4.328761281083054e-7,0.014075000000025284,6.199004326635083
10,0.1,0,random,pcglasso,C,1.5199110829529328e-6,0.011262499999998,6.199035142457643
10,0.1,0,random,pcglasso,C,5.336699231206308e-6,0.009662500000013096,6.199099391003266
10,0.1,0,random,pcglasso,C,1.873817422860384e-5,0.0070625000000745786,6.200141296368153
10,0.1,0,random,pcglasso,C,6.579332246575681e-5,0.004637500000126238,6.214088526553491
10,0.1,0,random,pcglasso,C,2.310129700083161e-4,0.00266250000013315,6.2869906973406025
10,0.1,0,random,pcglasso,C,8.11130830789687e-4,0.0019250000000283762,6.401174700659374
10,0.1,0,random,pcglasso,C,0.002848035868435802,0.0020500000000765795,6.401174700659374
10,0.1,0,random,pcglasso,C,0.010000000000000004,0.002400000000102409,6.401174700659374
10,0.1,0,random,pcglasso,I,9.999999999999982e-9,0.02746250000011514,6.198999777122563
10,0.1,0,random,pcglasso,I,3.5111917342151263e-8,0.022137500000167166,6.19899979021149
10,0.1,0,random,pcglasso,I,1.2328467394420646e-7,0.01849999999999454,6.199000079104621
10,0.1,0,random,pcglasso,I,4.328761281083054e-7,0.015075000000115324,6.199006959262767
10,0.1,0,random,pcglasso,I,1.5199110829529328e-6,0.01281250000010914,6.199034797085118
10,0.1,0,random,pcglasso,I,5.336699231206308e-6,0.011225000000035835,6.199105943229522
10,0.1,0,random,pcglasso,I,1.873817422860384e-5,0.008325000000081673,6.200283942719574
10,0.1,0,random,pcglasso,I,6.579332246575681e-5,0.005512500000008913,6.2151027412153415
10,0.1,0,random,pcglasso,I,2.310129700083161e-4,0.0033500000000458384,6.308605518440412
10,0.1,0,random,pcglasso,I,8.11130830789687e-4,0.0019874999998137355,6.727109847279954
10,0.1,0,random,pcglasso,I,0.002848035868435802,0.001962499999899592,6.7996975292363295
10,0.1,0,random,pcglasso,I,0.010000000000000004,0.0020000000001573425,6.7996975292363295
10,0.1,0,random,pcglassoFast_Dual,C,9.999999999999982e-9,0.016062500000043656,6.198999783110647
10,0.1,0,random,pcglassoFast_Dual,C,3.5111917342151263e-8,0.015200000000027103,6.198999818123278
10,0.1,0,random,pcglassoFast_Dual,C,1.2328467394420646e-7,0.013075000000344516,6.198999930786451
10,0.1,0,random,pcglassoFast_Dual,C,4.328761281083054e-7,0.012875000000099135,6.19899992672548
10,0.1,0,random,pcglassoFast_Dual,C,1.5199110829529328e-6,0.012074999999981628,6.199001373162724
10,0.1,0,random,pcglassoFast_Dual,C,5.336699231206308e-6,0.009574999999972533,6.199014753837452
10,0.1,0,random,pcglassoFast_Dual,C,1.873817422860384e-5,0.007975000000055844,6.1990537153304786
10,0.1,0,random,pcglassoFast_Dual,C,6.579332246575681e-5,0.007799999999974716,6.1990537153304786
10,0.1,0,random,pcglassoFast_Dual,C,2.310129700083161e-4,0.00712499999992815,6.199096226755369
10,0.1,0,random,pcglassoFast_Dual,C,8.11130830789687e-4,0.0072500000000218275,6.199096226755369
10,0.1,0,random,pcglassoFast_Dual,C,0.002848035868435802,0.0057875000001558876,6.2002661176441975
10,0.1,0,random,pcglassoFast_Dual,C,0.010000000000000004,0.004237500000090222,6.204600049702121
10,0.1,0,random,pcglassoFast_Dual,I,9.999999999999982e-9,0.013675000000080217,6.198999805126979
10,0.1,0,random,pcglassoFast_Dual,I,3.5111917342151263e-8,0.013800000000105683,6.198999816240548
10,0.1,0,random,pcglassoFast_Dual,I,1.2328467394420646e-7,0.013675000000080217,6.198999818243958
10,0.1,0,random,pcglassoFast_Dual,I,4.328761281083054e-7,0.011549999999942884,6.199000488206817
10,0.1,0,random,pcglassoFast_Dual,I,1.5199110829529328e-6,0.01038750000006985,6.199003308774751
10,0.1,0,random,pcglassoFast_Dual,I,5.336699231206308e-6,0.010462499999971443,6.199004304014938
10,0.1,0,random,pcglassoFast_Dual,I,1.873817422860384e-5,0.00938749999997981,6.1990028038165415
10,0.1,0,random,pcglassoFast_Dual,I,6.579332246575681e-5,0.007299999999850116,6.199131249054484
10,0.1,0,random,pcglassoFast_Dual,I,2.310129700083161e-4,0.007612500000141154,6.199131249054484
10,0.1,0,random,pcglassoFast_Dual,I,8.11130830789687e-4,0.0073249999999688955,6.199131249054484
10,0.1,0,random,pcglassoFast_Dual,I,0.002848035868435802,0.0060375000000476575,6.2005759261228475
10,0.1,0,random,pcglassoFast_Dual,I,0.010000000000000004,0.005249999999978172,6.201868387503218
