"p","structure","solver","start","tol_found","run_id","time","f_end","gap","success"
50,"line","pcglasso_fortran","C",1e-05,10,0.222000000000001,24.6396184405543,1.88861883643199e-05,TRUE
100,"hub","pcglasso_fortran","C",1e-06,1,44.195,31.0790987839755,7.70436223973547e-06,TRUE
100,"hub","pcglasso_fortran","C",1e-06,2,32.38,31.0790987839755,7.70436223973547e-06,TRUE
100,"hub","pcglasso_fortran","C",1e-06,3,41.045,31.0790987839755,7.70436223973547e-06,TRUE
100,"hub","pcglasso_fortran","C",1e-06,4,29.983,31.0790987839755,7.70436223973547e-06,TRUE
100,"hub","pcglasso_fortran","C",1e-06,5,34.499,31.0790987839755,7.70436223973547e-06,TRUE
100,"hub","pcglasso_fortran","C",1e-06,6,24.013,31.0790987839755,7.70436223973547e-06,TRUE
100,"hub","pcglasso_fortran","C",1e-06,7,32.759,31.0790987839755,7.70436223973547e-06,TRUE
100,"hub","pcglasso_fortran","C",1e-06,8,26.617,31.0790987839755,7.70436223973547e-06,TRUE
100,"hub","pcglasso_fortran","C",1e-06,9,33.358,31.0790987839755,7.70436223973547e-06,TRUE
100,"hub","pcglasso_fortran","C",1e-06,10,34.501,31.0790987839755,7.70436223973547e-06,TRUE
100,"line","pcglasso_fortran","C",1e-05,1,0.413000000000004,53.3323603820484,4.85073819334048e-06,TRUE
100,"line","pcglasso_fortran","C",1e-05,2,1.615,53.3323603820484,4.85073819334048e-06,TRUE
100,"line","pcglasso_fortran","C",1e-05,3,2.277,53.3323603820484,4.85073819334048e-06,TRUE
100,"line","pcglasso_fortran","C",1e-05,4,0.805,53.3323603820484,4.85073819334048e-06,TRUE
100,"line","pcglasso_fortran","C",1e-05,5,1.169,53.3323603820484,4.85073819334048e-06,TRUE
100,"line","pcglasso_fortran","C",1e-05,6,1.352,53.3323603820484,4.85073819334048e-06,TRUE
100,"line","pcglasso_fortran","C",1e-05,7,1.132,53.3323603820484,4.85073819334048e-06,TRUE
100,"line","pcglasso_fortran","C",1e-05,8,3.055,53.3323603820484,4.85073819334048e-06,TRUE
100,"line","pcglasso_fortran","C",1e-05,9,0.678000000000004,53.3323603820484,4.85073819334048e-06,TRUE
100,"line","pcglasso_fortran","C",1e-05,10,0.441000000000003,53.3323603820484,4.85073819334048e-06,TRUE
150,"hub","pcglasso_fortran","C",1e-05,1,56.67,46.06433203372,8.18596599856392e-05,TRUE
150,"hub","pcglasso_fortran","C",1e-05,2,47.796,46.06433203372,8.18596599856392e-05,TRUE
150,"hub","pcglasso_fortran","C",1e-05,3,59.973,46.06433203372,8.18596599856392e-05,TRUE
150,"hub","pcglasso_fortran","C",1e-05,4,44.636,46.06433203372,8.18596599856392e-05,TRUE
150,"hub","pcglasso_fortran","C",1e-05,5,41.416,46.06433203372,8.18596599856392e-05,TRUE
150,"hub","pcglasso_fortran","C",1e-05,6,54.261,46.06433203372,8.18596599856392e-05,TRUE
150,"hub","pcglasso_fortran","C",1e-05,7,61.304,46.06433203372,8.18596599856392e-05,TRUE
150,"hub","pcglasso_fortran","C",1e-05,8,58.431,46.06433203372,8.18596599856392e-05,TRUE
150,"hub","pcglasso_fortran","C",1e-05,9,45.689,46.06433203372,8.18596599856392e-05,TRUE
150,"hub","pcglasso_fortran","C",1e-05,10,47.285,46.06433203372,8.18596599856392e-05,TRUE
150,"line","pcglasso_fortran","C",1e-04,1,1.117,83.9376906123771,5.03013218065007e-05,TRUE
150,"line","pcglasso_fortran","C",1e-04,2,1.126,83.9376906123771,5.03013218065007e-05,TRUE
150,"line","pcglasso_fortran","C",1e-04,3,2.513,83.9376906123771,5.03013218065007e-05,TRUE
150,"line","pcglasso_fortran","C",1e-04,4,1.992,83.9376906123771,5.03013218065007e-05,TRUE
150,"line","pcglasso_fortran","C",1e-04,5,3.356,83.9376906123771,5.03013218065007e-05,TRUE
150,"line","pcglasso_fortran","C",1e-04,6,1.784,83.9376906123771,5.03013218065007e-05,TRUE
150,"line","pcglasso_fortran","C",1e-04,7,5.693,83.9376906123771,5.03013218065007e-05,TRUE
150,"line","pcglasso_fortran","C",1e-04,8,2.673,83.9376906123771,5.03013218065007e-05,TRUE
150,"line","pcglasso_fortran","C",1e-04,9,2.636,83.9376906123771,5.03013218065007e-05,TRUE
150,"line","pcglasso_fortran","C",1e-04,10,4.34399999999999,83.9376906123771,5.03013218065007e-05,TRUE
10,"hub","pcglasso","C",0.001,1,0.314,2.47838289271745,6.53634705218842e-05,TRUE
10,"hub","pcglasso","C",0.001,2,1.11799999999999,2.47838289271745,6.53634705218842e-05,TRUE
10,"hub","pcglasso","C",0.001,3,0.789000000000001,2.47838289271745,6.53634705218842e-05,TRUE
10,"hub","pcglasso","C",0.001,4,0.889999999999993,2.47838289271745,6.53634705218842e-05,TRUE
10,"hub","pcglasso","C",0.001,5,0.798000000000002,2.47838289271745,6.53634705218842e-05,TRUE
10,"hub","pcglasso","C",0.001,6,0.978999999999999,2.47838289271745,6.53634705218842e-05,TRUE
10,"hub","pcglasso","C",0.001,7,0.146999999999998,2.47838289271745,6.53634705218842e-05,TRUE
10,"hub","pcglasso","C",0.001,8,0.236000000000004,2.47838289271745,6.53634705218842e-05,TRUE
10,"hub","pcglasso","C",0.001,9,0.203000000000003,2.47838289271745,6.53634705218842e-05,TRUE
10,"hub","pcglasso","C",0.001,10,0.125999999999998,2.47838289271745,6.53634705218842e-05,TRUE
10,"line","pcglasso","C",0.001,1,0.0930000000000035,5.99145529668665,6.38868933933168e-06,TRUE
10,"line","pcglasso","C",0.001,2,0.0900000000000034,5.99145529668665,6.38868933933168e-06,TRUE
10,"line","pcglasso","C",0.001,3,0.117999999999995,5.99145529668665,6.38868933933168e-06,TRUE
10,"line","pcglasso","C",0.001,4,0.275999999999996,5.99145529668665,6.38868933933168e-06,TRUE
10,"line","pcglasso","C",0.001,5,0.0250000000000057,5.99145529668665,6.38868933933168e-06,TRUE
10,"line","pcglasso","C",0.001,6,0.0760000000000005,5.99145529668665,6.38868933933168e-06,TRUE
10,"line","pcglasso","C",0.001,7,0.116,5.99145529668665,6.38868933933168e-06,TRUE
10,"line","pcglasso","C",0.001,8,0.0549999999999997,5.99145529668665,6.38868933933168e-06,TRUE
10,"line","pcglasso","C",0.001,9,0.0919999999999987,5.99145529668665,6.38868933933168e-06,TRUE
10,"line","pcglasso","C",0.001,10,0.415999999999997,5.99145529668665,6.38868933933168e-06,TRUE
50,"hub","pcglasso","C",1e-04,1,4.998,15.8990148590221,2.27232550642498e-06,TRUE
50,"hub","pcglasso","C",1e-04,2,2.533,15.8990148590221,2.27232550642498e-06,TRUE
50,"hub","pcglasso","C",1e-04,3,0.625999999999998,15.8990148590221,2.27232550642498e-06,TRUE
50,"hub","pcglasso","C",1e-04,4,2.213,15.8990148590221,2.27232550642498e-06,TRUE
50,"hub","pcglasso","C",1e-04,5,1.66,15.8990148590221,2.27232550642498e-06,TRUE
50,"hub","pcglasso","C",1e-04,6,1.153,15.8990148590221,2.27232550642498e-06,TRUE
50,"hub","pcglasso","C",1e-04,7,10.856,15.8990148590221,2.27232550642498e-06,TRUE
50,"hub","pcglasso","C",1e-04,8,0.829999999999998,15.8990148590221,2.27232550642498e-06,TRUE
50,"hub","pcglasso","C",1e-04,9,1.589,15.8990148590221,2.27232550642498e-06,TRUE
50,"hub","pcglasso","C",1e-04,10,2.61500000000001,15.8990148590221,2.27232550642498e-06,TRUE
50,"line","pcglasso","C",0.001,1,0.192,24.6396580268643,5.84724983809792e-05,TRUE
50,"line","pcglasso","C",0.001,2,0.117000000000004,24.6396580268643,5.84724983809792e-05,TRUE
50,"line","pcglasso","C",0.001,3,0.783000000000001,24.6396580268643,5.84724983809792e-05,TRUE
50,"line","pcglasso","C",0.001,4,0.233999999999995,24.6396580268643,5.84724983809792e-05,TRUE
50,"line","pcglasso","C",0.001,5,0.114000000000004,24.6396580268643,5.84724983809792e-05,TRUE
50,"line","pcglasso","C",0.001,6,0.927000000000007,24.6396580268643,5.84724983809792e-05,TRUE
50,"line","pcglasso","C",0.001,7,0.321999999999989,24.6396580268643,5.84724983809792e-05,TRUE
50,"line","pcglasso","C",0.001,8,0.735999999999997,24.6396580268643,5.84724983809792e-05,TRUE
50,"line","pcglasso","C",0.001,9,0.246000000000002,24.6396580268643,5.84724983809792e-05,TRUE
50,"line","pcglasso","C",0.001,10,2.374,24.6396580268643,5.84724983809792e-05,TRUE
100,"hub","pcglasso","C",1e-04,1,15.402,31.0790936525477,2.57293443439721e-06,TRUE
100,"hub","pcglasso","C",1e-04,2,10.17,31.0790936525477,2.57293443439721e-06,TRUE
100,"hub","pcglasso","C",1e-04,3,12.758,31.0790936525477,2.57293443439721e-06,TRUE
100,"hub","pcglasso","C",1e-04,4,14.341,31.0790936525477,2.57293443439721e-06,TRUE
100,"hub","pcglasso","C",1e-04,5,13.191,31.0790936525477,2.57293443439721e-06,TRUE
100,"hub","pcglasso","C",1e-04,6,21.658,31.0790936525477,2.57293443439721e-06,TRUE
100,"hub","pcglasso","C",1e-04,7,18.811,31.0790936525477,2.57293443439721e-06,TRUE
100,"hub","pcglasso","C",1e-04,8,9.424,31.0790936525477,2.57293443439721e-06,TRUE
100,"hub","pcglasso","C",1e-04,9,33.543,31.0790936525477,2.57293443439721e-06,TRUE
100,"hub","pcglasso","C",1e-04,10,16.59,31.0790936525477,2.57293443439721e-06,TRUE
100,"line","pcglasso","C",1e-04,1,5.442,53.3323565118295,9.80519345716857e-07,TRUE
100,"line","pcglasso","C",1e-04,2,0.882999999999996,53.3323565118295,9.80519345716857e-07,TRUE
100,"line","pcglasso","C",1e-04,3,4.562,53.3323565118295,9.80519345716857e-07,TRUE
100,"line","pcglasso","C",1e-04,4,4.8,53.3323565118295,9.80519345716857e-07,TRUE
100,"line","pcglasso","C",1e-04,5,6.647,53.3323565118295,9.80519345716857e-07,TRUE
