p,cor_modifier,lambda,alpha,K_structure,solver,starting_point,tolerance,time_trimmed_mean,f_end
10,0.8,0.1,0.5,line,pcglasso_fortran,C,3.5111917342151263e-8,0.006000000000000227,7.6671010785258
10,0.8,0.1,0.5,line,pcglasso_fortran,C,1.2328467394420646e-7,0.006000000000000227,7.667101107475389
10,0.8,0.1,0.5,line,pcglasso_fortran,C,4.328761281083054e-7,0.005500000000012051,7.66710120324218
10,0.8,0.1,0.5,line,pcglasso_fortran,C,1.5199110829529328e-6,0.005500000000012051,7.667101462953139
10,0.8,0.1,0.5,line,pcglasso_fortran,C,5.336699231206308e-6,0.006000000000000227,7.667101462953139
10,0.8,0.1,0.5,line,pcglasso_fortran,C,1.873817422860384e-5,0.004500000000007276,7.667102770076266
10,0.8,0.1,0.5,line,pcglasso_fortran,C,6.579332246575681e-5,0.0049999999999954525,7.6671104986968475
10,0.8,0.1,0.5,line,pcglasso_fortran,C,2.310129700083161e-4,0.004499999999978854,7.66714955477347
10,0.8,0.1,0.5,line,pcglasso_fortran,C,8.11130830789687e-4,0.004500000000007276,7.667332906424344
10,0.8,0.1,0.5,line,pcglasso_fortran,C,0.002848035868435802,0.004500000000007276,7.667332906424344
10,0.8,0.1,0.5,line,pcglasso_fortran,C,0.010000000000000004,0.0030000000000143245,7.6691931562845435
10,0.8,0.1,0.5,line,pcglasso_fortran,I,9.999999999999982e-9,0.005000000000023874,7.667101074224088
10,0.8,0.1,0.5,line,pcglasso_fortran,I,3.5111917342151263e-8,0.005500000000012051,7.667101078844809
10,0.8,0.1,0.5,line,pcglasso_fortran,I,1.2328467394420646e-7,0.0049999999999954525,7.667101109610058
10,0.8,0.1,0.5,line,pcglasso_fortran,I,4.328761281083054e-7,0.005000000000023874,7.667101208216576
10,0.8,0.1,0.5,line,pcglasso_fortran,I,1.5199110829529328e-6,0.004500000000007276,7.667101464838222
10,0.8,0.1,0.5,line,pcglasso_fortran,I,5.336699231206308e-6,0.0049999999999954525,7.667101464838222
10,0.8,0.1,0.5,line,pcglasso_fortran,I,1.873817422860384e-5,0.0049999999999954525,7.667102873379234
10,0.8,0.1,0.5,line,pcglasso_fortran,I,6.579332246575681e-5,0.004499999999978854,7.667111684593486
10,0.8,0.1,0.5,line,pcglasso_fortran,I,2.310129700083161e-4,0.0034999999999740794,7.667154682212505
10,0.8,0.1,0.5,line,pcglasso_fortran,I,8.11130830789687e-4,0.002999999999985903,7.667336329518378
10,0.8,0.1,0.5,line,pcglasso_fortran,I,0.002848035868435802,0.003500000000002501,7.667336329518378
10,0.8,0.1,0.5,line,pcglasso_fortran,I,0.010000000000000004,0.002999999999985903,7.6691322224130465
10,0.8,0.2,0,line,pcglasso,C,9.999999999999982e-9,0.04449999999999932,6.5246347857643325
10,0.8,0.2,0,line,pcglasso,C,3.5111917342151263e-8,0.03849999999999909,6.524634785764383
10,0.8,0.2,0,line,pcglasso,C,1.2328467394420646e-7,0.04149999999998499,6.524634785764762
10,0.8,0.2,0,line,pcglasso,C,4.328761281083054e-7,0.03249999999999886,6.524634785764938
10,0.8,0.2,0,line,pcglasso,C,1.5199110829529328e-6,0.032500000000027285,6.5246347858150555
10,0.8,0.2,0,line,pcglasso,C,5.336699231206308e-6,0.014000000000010004,6.524634786774253
10,0.8,0.2,0,line,pcglasso,C,1.873817422860384e-5,0.017499999999984084,6.5246347884016425
10,0.8,0.2,0,line,pcglasso,C,6.579332246575681e-5,0.010499999999979082,6.524634844719638
