p,lambda,alpha,K_structure,solver,starting_point,tolerance,m,status,time,f_end,error
100,0.2,0,AR2,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.11899999999999977,93.43642264883425,NA
100,0.2,0,AR2,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.10699999999999932,93.43642264883425,NA
150,0.2,0,AR2,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.5260000000000034,141.25192211542827,NA
150,0.2,0,AR2,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.3500000000000014,141.25192211542827,NA
200,0.2,0,AR2,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.8029999999999973,188.43881270594184,NA
200,0.2,0,AR2,pcglassoFast_Primal,C,0.010000000000000004,2,ok,1.0380000000000038,188.43881270594184,NA
10,0.1,0.5,AR2,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.0020000000000024443,8.20657193328224,NA
10,0.1,0.5,AR2,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.0020000000000024443,8.20657193328224,NA
50,0.1,0.5,AR2,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.01300000000000523,41.39002331296503,NA
50,0.1,0.5,AR2,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.012999999999998124,41.39002331296503,NA
100,0.1,0.5,AR2,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.06300000000000239,83.41054285458779,NA
100,0.1,0.5,AR2,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.08099999999999596,83.41054285458779,NA
150,0.1,0.5,AR2,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.240000000000002,125.25861431323119,NA
150,0.1,0.5,AR2,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.21000000000000085,125.25861431323119,NA
200,0.1,0.5,AR2,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.6679999999999993,167.0261515461755,NA
200,0.1,0.5,AR2,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.544000000000004,167.0261515461755,NA
10,0.2,0.5,AR2,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.001999999999995339,8.454867514060377,NA
10,0.2,0.5,AR2,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.0020000000000024443,8.454867514060377,NA
50,0.2,0.5,AR2,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.012000000000000455,42.28475035081888,NA
50,0.2,0.5,AR2,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.013999999999995794,42.28475035081888,NA
100,0.2,0.5,AR2,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.06400000000000006,84.62936825682918,NA
100,0.2,0.5,AR2,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.06799999999999784,84.62936825682918,NA
150,0.2,0.5,AR2,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.1869999999999976,126.96223586726853,NA
150,0.2,0.5,AR2,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.18499999999999517,126.96223586726853,NA
200,0.2,0.5,AR2,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.4309999999999974,169.28461204748822,NA
200,0.2,0.5,AR2,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.4399999999999977,169.28461204748822,NA
10,0.1,0,random,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.005000000000002558,4.146562364010727,NA
10,0.1,0,random,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.005000000000002558,4.146562364010727,NA
50,0.1,0,random,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.021999999999998465,41.03405943168133,NA
50,0.1,0,random,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.018000000000000682,41.03405943168133,NA
100,0.1,0,random,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.09499999999999886,84.39812646659435,NA
100,0.1,0,random,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.09900000000000375,84.39812646659435,NA
150,0.1,0,random,pcglassoFast_Primal,C,0.010000000000000004,1,ok,1.0559999999999974,104.81465192219716,NA
150,0.1,0,random,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.8430000000000035,104.81465192219716,NA
200,0.1,0,random,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.5660000000000025,179.33374716339847,NA
200,0.1,0,random,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.5129999999999981,179.33374716339847,NA
10,0.2,0,random,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.013999999999995794,5.29765255291727,NA
10,0.2,0,random,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.014000000000002899,5.29765255291727,NA
50,0.2,0,random,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.017000000000003013,46.22049587144466,NA
50,0.2,0,random,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.018000000000000682,46.22049587144466,NA
100,0.2,0,random,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.08100000000000307,92.02683248541928,NA
100,0.2,0,random,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.10699999999999932,92.02683248541928,NA
150,0.2,0,random,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.7029999999999959,116.78548413622528,NA
150,0.2,0,random,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.7370000000000019,116.78548413622528,NA
200,0.2,0,random,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.6679999999999993,190.36632121157405,NA
200,0.2,0,random,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.5690000000000026,190.36632121157405,NA
10,0.1,0.5,random,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.005000000000002558,7.301304732704396,NA
10,0.1,0.5,random,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.0049999999999954525,7.301304732704396,NA
50,0.1,0.5,random,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.018000000000000682,41.54411952051825,NA
50,0.1,0.5,random,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.015000000000000568,41.54411952051825,NA
100,0.1,0.5,random,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.07099999999999795,82.83617769292611,NA
100,0.1,0.5,random,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.10799999999999699,82.83617769292611,NA
150,0.1,0.5,random,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.3539999999999992,117.48823384489947,NA
150,0.1,0.5,random,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.3440000000000012,117.48823384489947,NA
200,0.1,0.5,random,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.5800000000000054,167.3054584747402,NA
200,0.1,0.5,random,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.5060000000000002,167.3054584747402,NA
10,0.2,0.5,random,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.0040000000000048885,7.852007166730395,NA
10,0.2,0.5,random,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.0040000000000048885,7.852007166730395,NA
50,0.2,0.5,random,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.014000000000002899,42.209756912129144,NA
50,0.2,0.5,random,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.012999999999998124,42.209756912129144,NA
100,0.2,0.5,random,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.0799999999999983,84.23361230431101,NA
100,0.2,0.5,random,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.10999999999999943,84.23361230431101,NA
150,0.2,0.5,random,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.35199999999999676,122.13706765886144,NA
150,0.2,0.5,random,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.34899999999999665,122.13706765886144,NA
200,0.2,0.5,random,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.671999999999997,168.95370591923356,NA
200,0.2,0.5,random,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.5649999999999977,168.95370591923356,NA
10,0.1,0,hub_1,pcglassoFast_Dual,C,0.010000000000000004,1,ok,0.007000000000005002,2.729027488293725,NA
10,0.1,0,hub_1,pcglassoFast_Dual,C,0.010000000000000004,2,ok,0.008000000000002672,2.729027488293725,NA
50,0.1,0,hub_1,pcglassoFast_Dual,C,0.010000000000000004,1,ok,0.16799999999999926,15.471405651219612,NA
50,0.1,0,hub_1,pcglassoFast_Dual,C,0.010000000000000004,2,ok,0.4099999999999966,15.471405651219612,NA
100,0.1,0,hub_1,pcglassoFast_Dual,C,0.010000000000000004,1,ok,1.6510000000000034,30.81073785532598,NA
100,0.1,0,hub_1,pcglassoFast_Dual,C,0.010000000000000004,2,ok,1.8059999999999974,30.81073785532598,NA
150,0.1,0,hub_1,pcglassoFast_Dual,C,0.010000000000000004,1,ok,4.905000000000001,41.62764878988401,NA
150,0.1,0,hub_1,pcglassoFast_Dual,C,0.010000000000000004,2,ok,4.731999999999999,41.62764878988401,NA
200,0.1,0,hub_1,pcglassoFast_Dual,C,0.010000000000000004,1,ok,10.655000000000001,75.53716635813332,NA
200,0.1,0,hub_1,pcglassoFast_Dual,C,0.010000000000000004,2,ok,10.490000000000002,75.53716635813332,NA
10,0.2,0,hub_1,pcglassoFast_Dual,C,0.010000000000000004,1,ok,0.00999999999999801,3.797612058017511,NA
10,0.2,0,hub_1,pcglassoFast_Dual,C,0.010000000000000004,2,ok,0.009000000000000341,3.797612058017511,NA
50,0.2,0,hub_1,pcglassoFast_Dual,C,0.010000000000000004,1,ok,0.06799999999999784,19.13220167082284,NA
50,0.2,0,hub_1,pcglassoFast_Dual,C,0.010000000000000004,2,ok,0.10899999999999466,19.13220167082284,NA
100,0.2,0,hub_1,pcglassoFast_Dual,C,0.010000000000000004,1,ok,0.5480000000000018,34.45791245100954,NA
100,0.2,0,hub_1,pcglassoFast_Dual,C,0.010000000000000004,2,ok,0.6559999999999988,34.45791245100954,NA
150,0.2,0,hub_1,pcglassoFast_Dual,C,0.010000000000000004,1,ok,2.2820000000000036,45.195390611898816,NA
150,0.2,0,hub_1,pcglassoFast_Dual,C,0.010000000000000004,2,ok,2.253,45.195390611898816,NA
200,0.2,0,hub_1,pcglassoFast_Dual,C,0.010000000000000004,1,ok,5.424999999999997,79.00882555331958,NA
200,0.2,0,hub_1,pcglassoFast_Dual,C,0.010000000000000004,2,ok,5.355000000000004,79.00882555331958,NA
10,0.1,0.5,hub_1,pcglassoFast_Dual,C,0.010000000000000004,1,ok,0.008000000000002672,6.375990435222909,NA
10,0.1,0.5,hub_1,pcglassoFast_Dual,C,0.010000000000000004,2,ok,0.007999999999995566,6.375990435222909,NA
50,0.1,0.5,hub_1,pcglassoFast_Dual,C,0.010000000000000004,1,ok,0.14300000000000068,28.69514307364246,NA
50,0.1,0.5,hub_1,pcglassoFast_Dual,C,0.010000000000000004,2,ok,0.1419999999999959,28.69514307364246,NA
100,0.1,0.5,hub_1,pcglassoFast_Dual,C,0.010000000000000004,1,ok,0.2609999999999957,54.00314530675474,NA
100,0.1,0.5,hub_1,pcglassoFast_Dual,C,0.010000000000000004,2,ok,0.4609999999999985,54.00314530675474,NA
150,0.1,0.5,hub_1,pcglassoFast_Dual,C,0.010000000000000004,1,ok,37.656,76.92639698244918,NA
150,0.1,0.5,hub_1,pcglassoFast_Dual,C,0.010000000000000004,2,ok,36.806,76.92639698244918,NA
